Company,count,share_pct
"WHEELS FINANCIAL GROUP, LLC.",537,0.004790498648089166
"Allied Collection Services, Inc. (Nevada)",537,0.004790498648089166
TCF NATIONAL BANK,535,0.004772656939902614
"LDF Holdings, LLC",535,0.004772656939902614
MECHANICS BANK,535,0.004772656939902614
MORGAN STANLEY & CO. LLC,534,0.004763736085809339
COMMERCE BANK,531,0.004736973523529511
21ST MORTGAGE CORP.,527,0.004701290107156407
"STERLING JEWELERS, INC.",527,0.004701290107156407
"USCB, Inc.",524,0.004674527544876579
1st Franklin Financial Corporation,522,0.004656685836690028
"Jon Barry and Associates, Inc.",522,0.004656685836690028
SinglePoint GI,517,0.004612081566223648
Southern Management Systems Inc.,511,0.004558556441663993
"Reliant Capital Solutions, LLC",509,0.004540714733477441
Credit Fresh Holdings Inc,508,0.0045317938793841646
RANDOLPH-BROOKS FEDERAL CREDIT UNION,504,0.004496110463011061
Creditors Bureau Associates,503,0.004487189608917785
AMERIS BANCORP,500,0.004460427046637958
Home Point Financial Corporation,492,0.00438906021389175
"McCarthy, Burgess & Wolff, Inc.",490,0.004371218505705199
Harley Davidson Financial Services Inc,487,0.0043444559434253705
"AmerAssist A/R Solutions, Inc.",485,0.004326614235238819
Rausch Sturm LLP,482,0.004299851672958991
"Dave Operating, LLC",481,0.004290930818865715
"Veros Credit, LLC",481,0.004290930818865715
"Nationwide Recovery Systems, Ltd",481,0.004290930818865715
"Crown Asset Management, LLC, Duluth, GA Branch",480,0.00428200996477244
WSFS FINANCIAL CORPORATION,477,0.0042552474024926115
"Certegy Holdings, LLC",475,0.004237405694306059
Merchants' Credit Guide Company,470,0.00419280142383968
ZIONS BANCORPORATION,468,0.0041749597156531286
"Io, Inc.",466,0.004157118007466576
Linebarger Goggan Blair & Sampson LLP,459,0.004094672028813645
SCHOOLSFIRST FEDERAL CREDIT UNION,458,0.0040857511747203696
FourLeaf Federal Credit Union,457,0.0040768303206270935
"Mortgage Research Center, LLC",457,0.0040768303206270935
"Frontline Asset Strategies, LLC",454,0.004050067758347265
Collection Bureau of America Ltd.,453,0.004041146904253989
Prince Parker & Associates,452,0.004032226050160714
"Professional Finance Company, Inc.",450,0.004014384341974162
"Advance America, Cash Advance Centers, Inc.",450,0.004014384341974162
"Dynamic Recovery Solutions, LLC",448,0.00399654263378761
WLCC,442,0.003943017509227954
"Client Services, Inc.",440,0.003925175801041403
Payward Ventures Inc. dba Kraken,440,0.003925175801041403
Climb Credit Inc.,436,0.003889492384668299
"Optio Solutions, LLC",435,0.003880571530575023
CIG FINANCIAL LLC,435,0.003880571530575023
MUFG AMERICAS HOLDINGS CORPORATION,434,0.0038716506764817473
"Goal Structured Solutions, LLC",434,0.0038716506764817473
"Collection Bureau of the Hudson Valley, Inc.",434,0.0038716506764817473
ASSOCIATED BANC-CORP,434,0.0038716506764817473
FIRSTBANK PUERTO RICO,430,0.0038359672601086434
"ResidentCollect, Inc.",430,0.0038359672601086434
"Weltman, Weinberg & Reis Co., L.P.A.",429,0.0038270464060153678
"Harpeth Financial Services, LLC",429,0.0038270464060153678
"Sentry Credit, Inc.",429,0.0038270464060153678
First Advantage LNS Inc.,425,0.003791362989642264
"EVERBANK, NATIONAL ASSOCIATION",421,0.0037556795732691605
Park Hill Holdings,420,0.0037467587191758844
"Law Office of Michael J. Scott, PC",415,0.003702154448709505
"P&B Capital Group, LLC",413,0.0036843127405229528
UMB FINANCIAL CORPORATION,411,0.003666471032336401
SUN LOAN COMPANY INC.,410,0.0036575501782431254
"Americas Car-Mart, Inc.",410,0.0036575501782431254
Credit Plus Inc,410,0.0036575501782431254
"Real Time Group, Inc.",409,0.0036486293241498493
"Skrill USA, Inc.",407,0.0036307876159632976
"Choice Recovery, Inc.",404,0.00360402505368347
"Associated Credit Services, Inc.",404,0.00360402505368347
Midwest Recovery Systems,403,0.0035951041995901938
"Applied Data Finance, LLC",398,0.0035504999291238143
"RS Clark and Associates, Inc.",394,0.0035148165127507104
"Mobiloans, LLC",392,0.0034969748045641587
"Harvard Collections, LLC",390,0.003479133096377607
Innovis,387,0.003452370534097779
"Pressler & Pressler, LLP",383,0.0034166871177246753
"Blitt and Gaines, P.C.",383,0.0034166871177246753
Concord Servicing Corporation,382,0.0034077662636313997
"Kinum, Inc., Indianapolis, IN Branch",381,0.0033988454095381236
"Oliphant United, Inc.",381,0.0033988454095381236
"CULLEN/FROST BANKERS, INC.",375,0.003345320284978468
Verisk Analytics Inc,373,0.0033274785767919163
"Monarch Recovery Holdings, Inc.",372,0.0033185577226986403
PRESTIGE FINANCIAL SERVICES INC,372,0.0033185577226986403
Guild Holdings Company,371,0.0033096368686053646
"State Collection Service, Inc.",370,0.0033007160145120886
Yamaha Motor Finance Corporation USA,368,0.003282874306325537
OLD NATIONAL BANCORP,368,0.003282874306325537
Aspen Yo LLC,366,0.003265032598138985
"Gurstel Law Firm, P.C.",364,0.003247190889952433
"National Enterprise Systems, Inc.",364,0.003247190889952433
"Merchants Adjustment Service, Inc.",362,0.0032293491817658813
The Phoenix Recovery Group,362,0.0032293491817658813
"SCA Collections, Inc.",358,0.0031936657653927774
"Shepherd Outsourcing, LLC",358,0.0031936657653927774
BlueChip Financial,356,0.0031758240572062257
"GREENSKY OPERATIONS, LLC",356,0.0031758240572062257
Revolut Technologies Inc.,353,0.003149061494926398
"GreenSky, LLC",350,0.00312229893264657
"OLIPHANT FINANCIAL, LLC",350,0.00312229893264657
"Williams, Rush & Associates, LLC",348,0.0031044572244600184
"VANDERBILT MORTGAGE & FINANCE, INC",348,0.0031044572244600184
VALLEY NATIONAL BANCORP,347,0.0030955363703667423
"Rozlin Financial Group, Inc.",347,0.0030955363703667423
"Alliance One, Inc.",347,0.0030955363703667423
"MERCANTILE ADJUSTMENT BUREAU, LLC",346,0.0030866155162734667
CNG HOLDINGS INC,345,0.0030776946621801906
"Berlin-Wheeler, Inc. (Kansas)",343,0.003059852953993639
"Mandarich Law Group, LLP",342,0.003050932099900363
"Uplift, Inc",342,0.003050932099900363
"American Profit Recovery, Inc., Marlborough, MA Branch",341,0.003042011245807087
"Summit A*R, Inc.",340,0.003033090391713811
FULTON FINANCIAL CORPORATION,340,0.003033090391713811
"ECMC GROUP, INC.",340,0.003033090391713811
SG and Associates,339,0.003024169537620535
KBR INC DBA RASH CURTIS & ASSOCIATES,339,0.003024169537620535
"Skopos Financial, LLC",338,0.0030152486835272594
Frost-Arnett Company,338,0.0030152486835272594
"Better Mortgage, Inc.",337,0.0030063278294339833
SOUTHSTATE BANK CORPORATION,337,0.0030063278294339833
"Elevate Recoveries, LLC",335,0.0029884861212474316
"Merchants and Medical Credit Corporation, Inc.",335,0.0029884861212474316
USCB Corporation,333,0.00297064441306088
Movement Mortgage LLC,333,0.00297064441306088
"Northstar Location Services, LLC",333,0.00297064441306088
"GVA Holdings, LLC",332,0.002961723558967604
"SERVICEMAC, LLC",328,0.0029260401425945
"Strategic Alliances, Inc.",328,0.0029260401425945
"Total Card, Inc.",328,0.0029260401425945
"Complete Credit Solutions, Inc.",328,0.0029260401425945
Contemporary Information Corp,326,0.0029081984344079483
BOK FINANCIAL CORP,325,0.0028992775803146726
"Capital Management Services, LP",325,0.0028992775803146726
"Mountain Run Solutions, LLC",325,0.0028992775803146726
Rosebud Economic Development Corporation,324,0.0028903567262213966
"PlusFour, Inc",324,0.0028903567262213966
"National Collection Systems, Inc.",323,0.0028814358721281205
"Advantage Credit, Inc.",322,0.002872515018034845
Data Mortgage Inc.,321,0.0028635941639415688
Sterling Infosystems Inc.,321,0.0028635941639415688
EAST WEST BANK,320,0.0028546733098482927
"Volvo Car Financial Services U.S., LLC",317,0.002827910747568465
TomoCredit Inc.,314,0.0028011481852886376
"Mid-Atlantic Finance Co., Inc.",314,0.0028011481852886376
Kingston Data & Credit International Inc.,312,0.0027833064771020854
"Meridian Financial Services, Inc.",310,0.0027654647689155337
Southern Auto Finance Co,309,0.0027565439148222576
Fig Tech Inc.,308,0.002747623060728982
Healthcare Finance Direct LLC.,307,0.002738702206635706
